"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner" "HHGender" "HHRace" "HHHisp" "HHAge" "HHRelate"
90 2 1 1 1 30 2 1 2 1 1 28 1
91 2 1 1 1 53 3 1 2 1 1 81 1
92 2 2 7 1 42 2 1 1 6 1 48 1
93 2 2 1 1 18 3 1 2 1 1 51 1
94 2 1 1 1 62 2 1 2 1 1 65 1
95 2 2 1 1 60 2 1 1 1 1 64 1
96 2 2 2 1 12 3 2 2 2 1 31 1
96 3 1 2 1 7 3 2 2 2 1 31 1
97 2 2 1 1 62 2 1 1 1 1 64 1
98 2 2 1 1 71 10 1 2 1 1 56 1
99 2 2 1 2 59 2 1 1 1 2 70 1
100 2 2 1 1 72 2 1 1 1 1 74 1
100 3 2 1 1 49 3 1 1 1 1 74 1
101 2 2 1 1 78 2 1 1 1 1 82 1
102 2 2 1 1 79 2 1 1 1 1 79 1
103 2 1 1 2 20 3 1 2 1 5 42 1
103 3 1 1 1 57 11 1 2 1 5 42 1
104 2 2 1 1 66 2 1 1 1 1 67 1
105 2 1 1 1 53 2 1 2 1 1 48 1
105 3 2 1 1 15 3 1 2 1 1 48 1
106 2 2 1 5 41 2 1 1 1 1 41 1
107 2 1 1 1 39 2 1 2 1 1 39 1
108 2 2 1 1 63 2 1 1 1 1 64 1
109 2 2 1 4 2 3 2 1 1 4 28 1
109 3 2 1 1 23 11 2 1 1 4 28 1
110 2 2 1 1 65 2 1 1 1 1 65 1
111 2 2 1 1 77 2 1 1 1 1 78 1
112 2 2 1 1 69 2 1 1 1 1 70 1
113 2 1 1 1 19 3 1 2 1 1 43 1
114 2 1 1 1 65 2 1 2 1 1 68 1
115 2 1 1 1 64 2 1 2 1 1 65 1
116 2 2 1 1 23 11 2 1 1 1 24 1
117 2 1 1 1 53 2 1 2 1 1 67 1
118 2 2 6 1 63 2 1 1 6 1 70 1
119 2 2 1 1 59 2 2 1 1 1 57 1
120 2 1 4 1 28 11 2 1 4 1 29 1
121 2 2 1 1 75 2 1 1 1 1 75 1
122 2 2 2 1 48 2 1 1 2 1 52 1
122 3 2 2 1 9 3 1 1 2 1 52 1
123 2 1 1 1 71 2 1 2 1 1 73 1
124 2 1 2 1 52 2 2 2 2 1 60 1
125 2 2 1 1 49 2 1 1 1 1 58 1
126 2 2 2 1 33 2 1 1 2 1 51 1
127 2 1 2 1 41 3 2 1 2 1 84 1
127 3 2 2 1 26 3 2 1 2 1 84 1
128 2 2 1 1 59 2 1 1 1 1 65 1
129 2 2 1 1 7 3 1 2 1 1 48 1
129 3 1 1 1 44 11 1 2 1 1 48 1
130 2 1 1 1 49 7 1 1 1 1 61 1
131 2 1 1 1 19 3 1 2 1 1 50 1
131 3 2 1 1 12 3 1 2 1 1 50 1
132 2 2 1 1 49 2 1 1 1 1 56 1
133 2 1 1 1 53 2 1 2 1 1 53 1
134 2 2 1 1 56 2 1 1 8 1 54 1
135 2 2 1 1 39 2 1 1 1 1 46 1
135 3 2 1 1 2 9 1 1 1 1 46 1
136 2 2 1 2 74 10 1 1 1 1 74 1
137 2 2 1 1 43 2 1 1 1 1 51 1
137 3 2 1 1 7 3 1 1 1 1 51 1
138 2 2 2 1 75 2 1 1 2 1 80 1
139 2 1 1 1 61 2 1 2 1 1 61 1
140 2 2 1 1 83 2 1 1 1 1 87 1
141 2 1 1 1 70 2 1 2 1 1 62 1
141 3 2 1 1 28 3 1 2 1 1 62 1
142 2 1 1 1 60 2 1 2 1 1 63 1
143 2 2 1 1 72 2 1 1 1 1 74 1
144 2 2 1 1 60 2 1 1 1 1 60 1
144 3 2 1 1 27 3 1 1 1 1 60 1
145 2 1 6 1 61 2 1 2 6 1 62 1
145 3 2 6 1 31 11 1 2 6 1 62 1
146 2 2 1 1 76 2 1 1 1 1 75 1
147 2 1 1 1 28 12 2 1 1 1 27 1
148 2 1 1 1 7 3 2 2 1 5 34 1
148 3 2 1 3 40 11 2 2 1 5 34 1
149 2 2 1 1 63 2 1 1 1 1 70 1
150 2 2 3 1 37 2 2 1 1 1 37 1
150 3 2 1 1 1 3 2 1 1 1 37 1
151 2 2 2 1 65 2 1 1 1 1 66 1
152 2 2 1 1 26 3 1 1 1 1 62 1
153 2 2 1 1 24 2 1 1 1 1 28 1
154 2 1 1 1 32 2 2 2 1 1 28 1
154 3 1 1 1 31 11 2 2 1 1 28 1
155 2 2 1 1 10 3 2 2 1 1 34 1
156 2 1 1 1 41 3 1 2 1 1 65 1
157 2 2 4 1 46 2 1 1 4 1 49 1
158 2 2 1 1 25 11 2 1 5 1 29 1
159 2 2 1 1 65 2 1 1 1 1 66 1
160 2 1 2 1 56 3 1 2 2 1 81 1
160 3 1 2 1 54 3 1 2 2 1 81 1
161 2 2 2 1 62 10 1 1 2 1 66 1
162 2 2 1 1 65 2 1 1 1 1 69 1
163 2 2 1 1 30 9 1 2 1 1 78 1
164 2 1 2 1 16 3 2 2 2 1 42 1
164 3 2 2 1 15 3 2 2 2 1 42 1
165 2 2 1 1 79 2 1 1 1 1 81 1
166 2 2 1 1 56 2 1 1 1 1 57 1
166 3 2 1 1 23 3 1 1 1 1 57 1
167 2 1 2 1 27 3 1 1 2 1 58 1
168 2 1 1 1 54 11 1 1 1 1 88 1
169 2 2 1 1 22 11 2 2 1 1 27 1
170 2 2 1 2 46 2 1 1 1 2 46 1
171 2 2 1 1 67 2 1 1 1 1 66 1
172 2 1 1 1 79 2 1 2 1 1 77 1
173 2 2 1 1 82 2 1 1 1 1 94 1
174 2 1 1 1 63 2 1 2 1 1 50 1
174 3 1 1 1 17 3 1 2 1 1 50 1
175 2 2 1 1 55 2 1 1 1 1 57 1
176 2 2 1 1 95 12 1 1 1 1 81 1
177 2 2 1 1 43 2 1 1 1 1 44 1
178 2 2 1 1 74 2 1 1 1 1 76 1
