"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner" "HHGender" "HHRace" "HHHisp" "HHAge" "HHRelate"
78 3 1 1 1 20 3 2 1 1 1 52 1
79 2 2 1 1 57 11 2 1 1 1 53 1
79 3 2 1 1 50 11 2 1 1 1 53 1
80 2 2 8 1 59 2 1 1 1 1 62 1
80 3 1 8 1 14 9 1 1 1 1 62 1
80 4 1 8 1 12 9 1 1 1 1 62 1
81 2 1 7 5 48 2 2 2 7 3 42 1
81 3 1 7 3 21 3 2 2 7 3 42 1
82 2 2 6 1 56 2 2 1 6 1 60 1
83 2 1 1 1 63 2 1 2 1 1 61 1
84 2 2 2 1 67 7 1 2 2 1 62 1
85 2 2 1 1 38 11 1 1 1 1 43 1
86 2 2 1 2 57 2 1 1 1 2 56 1
86 3 1 1 2 22 3 1 1 1 2 56 1
87 2 2 1 2 26 2 2 1 1 5 29 1
87 3 2 1 2 2 3 2 1 1 5 29 1
88 2 2 1 1 75 2 1 1 1 1 79 1
89 2 2 1 1 55 2 1 1 1 1 59 1
90 2 1 4 1 40 2 1 2 4 1 41 1
90 3 2 4 1 9 3 1 2 4 1 41 1
90 4 1 4 1 6 3 1 2 4 1 41 1
91 2 2 1 1 16 3 1 2 1 1 61 1
91 3 1 1 1 16 3 1 2 1 1 61 1
92 2 2 1 3 34 2 1 1 1 1 40 1
92 3 2 1 3 3 3 1 1 1 1 40 1
92 4 2 1 3 11 3 1 1 1 1 40 1
93 2 2 1 1 52 2 1 1 1 1 52 1
93 3 1 1 1 28 3 1 1 1 1 52 1
93 4 2 1 1 23 3 1 1 1 1 52 1
94 2 1 1 1 58 2 1 2 1 1 60 1
94 3 2 1 1 24 3 1 2 1 1 60 1
95 2 1 8 1 24 3 1 2 8 1 52 1
96 2 2 1 1 72 5 1 1 1 1 48 1
97 2 1 1 1 21 3 1 2 1 1 54 1
97 3 2 1 1 19 3 1 2 1 1 54 1
98 2 2 1 1 69 2 1 1 1 2 72 1
99 2 2 1 1 34 2 1 1 1 1 40 1
100 2 1 1 1 6 3 2 2 1 1 24 1
100 3 1 1 1 30 11 2 2 1 1 24 1
101 2 2 1 1 69 2 1 1 1 1 58 1
102 2 1 1 1 7 3 2 1 1 1 52 1
103 2 1 1 1 54 11 1 2 1 1 55 1
104 2 2 4 1 48 2 2 1 1 1 56 1
104 3 2 4 1 10 3 2 1 1 1 56 1
104 4 2 4 1 30 3 2 1 1 1 56 1
105 2 1 1 2 32 2 2 2 1 1 28 1
106 2 2 4 1 89 2 2 1 4 1 94 1
107 2 2 5 1 43 2 2 1 5 1 46 1
108 2 2 7 2 56 3 2 1 7 2 85 1
108 3 1 7 2 50 3 2 1 7 2 85 1
109 2 1 1 1 57 2 1 2 1 1 61 1
110 2 2 1 1 25 3 2 2 1 1 56 1
110 3 2 1 1 18 3 2 2 1 1 56 1
111 2 2 1 1 57 2 1 1 1 1 49 1
112 2 2 1 1 44 2 1 1 1 1 44 1
112 3 2 1 1 12 3 1 1 1 1 44 1
112 4 2 1 1 19 3 1 1 1 1 44 1
113 2 1 1 1 54 3 1 2 1 1 84 1
114 2 1 8 1 52 3 1 2 8 1 72 1
114 3 2 8 1 36 3 1 2 8 1 72 1
115 2 1 1 1 59 3 1 2 1 1 91 1
116 2 2 1 1 27 2 1 1 1 1 29 1
117 2 2 1 1 30 2 2 1 1 1 32 1
118 2 2 1 1 25 11 1 1 1 1 24 1
119 2 2 1 1 49 2 1 1 1 1 53 1
119 3 1 1 1 17 3 1 1 1 1 53 1
119 4 2 1 1 13 3 1 1 1 1 53 1
120 2 1 1 1 57 11 1 2 1 1 58 1
121 2 2 1 1 41 2 1 1 1 1 35 1
121 3 1 1 1 8 3 1 1 1 1 35 1
122 2 2 1 1 55 2 1 1 1 1 53 1
123 2 2 1 1 83 2 1 1 1 1 89 1
124 2 2 1 1 64 2 1 1 1 1 68 1
125 2 2 1 1 49 2 1 1 1 1 50 1
126 2 2 1 1 71 2 1 1 1 1 77 1
127 2 2 1 1 61 2 1 1 1 1 63 1
128 2 1 1 1 34 11 2 1 1 1 32 1
129 2 1 1 1 61 2 1 2 1 1 57 1
129 3 2 1 1 27 3 1 2 1 1 57 1
130 2 1 1 1 65 2 1 2 1 1 65 1
131 2 2 1 1 62 2 1 1 1 1 62 1
132 2 2 2 1 19 3 2 2 2 1 36 1
132 3 1 2 1 7 3 2 2 2 1 36 1
133 2 1 1 1 22 3 1 2 1 1 56 1
134 2 1 1 1 55 11 1 2 1 1 55 1
135 2 2 1 1 65 2 1 1 1 1 71 1
136 2 1 1 1 79 2 1 2 1 1 76 1
137 2 2 1 1 36 2 1 1 1 1 39 1
137 3 2 1 1 8 3 1 1 1 1 39 1
137 4 2 1 1 4 3 1 1 1 1 39 1
138 2 2 1 1 62 2 1 1 1 1 64 1
139 2 1 1 1 69 2 1 2 1 1 58 1
140 2 2 7 5 36 2 2 1 9 1 36 1
140 3 1 9 5 6 3 2 1 9 1 36 1
140 4 1 9 5 5 3 2 1 9 1 36 1
141 2 1 1 1 30 2 1 2 1 1 24 1
141 3 1 1 1 4 3 1 2 1 1 24 1
142 2 2 1 1 41 2 2 1 1 1 49 1
142 3 1 1 1 3 3 2 1 1 1 49 1
143 2 2 1 1 54 2 1 1 1 1 41 1
144 2 2 2 1 8 3 2 2 2 1 42 1
145 2 1 1 1 52 2 1 2 1 1 50 1
145 3 1 1 1 16 3 1 2 1 1 50 1
145 4 1 1 1 13 3 1 2 1 1 50 1
146 2 2 1 1 48 2 1 1 1 1 48 1
146 3 2 1 1 19 3 1 1 1 1 48 1
146 4 1 1 1 18 3 1 1 1 1 48 1
147 2 2 1 1 37 2 1 1 1 1 41 1
147 3 1 1 1 15 3 1 1 1 1 41 1
147 4 1 1 1 12 3 1 1 1 1 41 1
148 2 1 1 1 70 2 1 2 1 1 63 1
149 2 2 5 1 44 2 1 1 5 1 49 1
149 3 1 5 1 9 3 1 1 5 1 49 1
149 4 2 5 1 7 3 1 1 5 1 49 1
150 2 2 6 1 26 2 1 1 6 1 32 1
151 2 1 1 2 22 11 2 2 1 2 20 1
151 3 1 1 2 20 11 2 2 1 2 20 1
152 2 2 1 1 43 2 1 1 1 1 37 1
152 3 1 1 1 10 3 1 1 1 1 37 1
152 4 1 1 1 6 3 1 1 1 1 37 1
153 2 2 1 1 48 2 1 1 1 1 54 1
153 3 1 1 1 12 3 1 1 1 1 54 1
154 2 2 1 1 71 2 1 1 1 1 81 1
155 2 2 1 1 59 2 1 1 1 1 58 1
156 2 2 1 1 49 2 1 1 1 1 51 1
157 2 1 8 1 46 2 1 2 8 1 46 1
158 2 1 4 1 59 2 1 2 4 1 57 1
158 3 2 4 1 22 3 1 2 4 1 57 1
159 2 2 6 1 30 2 1 1 6 1 32 1
159 3 1 6 1 26 12 1 1 6 1 32 1
159 4 2 6 1 13 12 1 1 6 1 32 1
160 2 2 1 1 53 2 1 1 1 1 57 1
161 2 2 1 1 62 2 1 1 1 1 59 1
162 2 1 7 5 61 2 1 2 1 1 57 1
163 2 1 1 1 48 2 1 2 1 1 41 1
163 3 1 1 1 12 3 1 2 1 1 41 1
164 2 1 1 1 41 2 2 2 1 1 32 1
165 2 2 1 1 14 3 1 2 1 1 45 1
165 3 2 1 1 12 3 1 2 1 1 45 1
166 2 2 1 1 74 2 2 1 1 1 81 1
167 2 1 2 1 24 3 2 2 2 1 44 1
167 3 1 2 1 22 3 2 2 2 1 44 1
168 2 2 1 1 55 2 1 1 1 1 59 1
169 2 2 1 1 72 2 1 1 1 1 70 1
170 2 2 1 1 68 2 1 1 1 1 73 1
171 2 2 7 2 34 2 1 1 7 2 44 1
171 3 1 7 2 12 3 1 1 7 2 44 1
171 4 1 7 2 8 3 1 1 7 2 44 1
172 2 2 2 1 22 3 1 1 2 1 51 1
172 3 1 2 1 19 3 1 1 2 1 51 1
172 4 2 2 1 41 10 1 1 2 1 51 1
173 2 1 1 1 27 2 1 2 1 1 26 1
173 3 2 1 1 1 3 1 2 1 1 26 1
173 4 1 1 1 1 3 1 2 1 1 26 1
174 2 2 1 1 68 2 1 1 1 1 69 1
175 2 2 1 1 60 2 2 1 1 1 62 1
175 3 2 1 1 83 6 2 1 1 1 62 1
176 2 1 1 1 51 2 1 2 1 1 50 1
176 3 1 1 1 20 3 1 2 1 1 50 1
176 4 1 1 1 17 3 1 2 1 1 50 1
177 2 2 1 1 66 2 1 1 1 1 70 1
178 2 1 1 1 56 2 1 2 1 1 53 1
178 3 1 1 1 19 3 1 2 1 1 53 1
179 2 1 1 1 69 2 1 2 1 1 62 1
180 2 2 1 1 83 2 1 1 1 1 83 1
181 2 2 1 1 39 2 2 1 1 1 37 1
181 3 1 1 1 5 3 2 1 1 1 37 1
181 4 2 1 1 1 3 2 1 1 1 37 1
182 2 2 1 2 32 2 2 1 1 2 31 1
183 2 1 6 1 4 3 1 2 6 1 29 1
184 2 2 1 1 63 2 1 1 1 1 64 1
185 2 1 1 2 48 3 1 2 1 2 72 1
186 2 2 7 2 43 2 2 1 7 2 44 1
187 2 2 1 1 38 2 1 1 1 1 38 1
188 2 2 1 1 32 2 1 1 1 1 36 1
188 3 1 1 1 5 3 1 1 1 1 36 1
188 4 1 1 1 1 3 1 1 1 1 36 1
189 2 2 1 1 55 2 1 1 1 1 54 1
189 3 2 1 1 22 3 1 1 1 1 54 1
189 4 2 1 1 19 3 1 1 1 1 54 1
190 2 2 1 1 14 3 1 1 1 1 41 1
190 3 1 1 1 4 3 1 1 1 1 41 1
190 4 2 1 1 39 11 1 1 1 1 41 1
191 2 2 1 1 38 2 1 1 2 1 44 1
191 3 2 8 1 13 3 1 1 2 1 44 1
191 4 2 8 1 19 3 1 1 2 1 44 1
192 2 1 1 1 66 2 1 2 1 1 64 1
193 2 2 1 1 39 2 1 1 1 1 39 1
193 3 2 1 1 14 3 1 1 1 1 39 1
193 4 1 1 1 11 3 1 1 1 1 39 1
194 2 2 1 1 51 2 1 1 1 1 54 1
194 3 1 1 1 25 3 1 1 1 1 54 1
195 2 1 1 1 76 2 1 2 1 1 75 1
196 2 1 4 1 65 2 1 2 4 1 65 1
197 2 1 1 1 50 11 2 1 2 1 52 1
198 2 1 1 1 42 2 1 2 1 1 41 1
199 2 2 7 5 41 2 2 1 7 5 44 1
199 3 2 7 5 6 3 2 1 7 5 44 1
199 4 1 7 5 5 3 2 1 7 5 44 1
200 2 2 1 1 44 2 2 1 1 1 46 1
200 3 2 1 1 17 3 2 1 1 1 46 1
200 4 2 1 1 12 3 2 1 1 1 46 1
201 2 2 1 2 18 3 1 2 1 2 46 1
201 3 2 1 2 15 3 1 2 1 2 46 1
201 4 1 1 2 10 3 1 2 1 2 46 1
202 2 1 1 1 50 2 1 2 1 1 50 1
203 2 1 1 1 70 2 2 2 1 1 67 1
203 3 2 1 1 94 5 2 2 1 1 67 1
203 4 1 1 1 23 9 2 2 1 1 67 1
204 2 2 2 1 12 9 2 2 2 1 55 1
204 3 1 2 1 2 9 2 2 2 1 55 1
205 2 2 2 1 59 2 1 1 2 1 62 1
205 3 1 2 1 27 3 1 1 2 1 62 1
206 2 2 1 1 32 3 1 2 1 1 60 1
206 3 2 1 1 1 9 1 2 1 1 60 1
207 2 2 1 1 40 10 2 1 8 1 56 1
208 2 2 1 1 40 2 1 1 1 1 43 1
209 2 2 1 1 11 3 2 1 1 1 37 1
210 2 2 1 1 26 2 1 1 1 1 27 1
211 2 1 1 1 17 3 2 1 1 1 37 1
212 2 2 1 1 56 3 1 2 1 1 80 1
213 2 1 1 5 19 7 2 2 1 5 23 1
213 3 1 1 5 59 5 2 2 1 5 23 1
213 4 2 1 5 51 5 2 2 1 5 23 1
214 2 2 1 1 43 2 1 1 1 1 46 1
214 3 1 1 1 10 3 1 1 1 1 46 1
215 2 2 8 1 22 3 2 2 1 1 41 1
215 3 1 8 1 16 3 2 2 1 1 41 1
215 4 2 8 1 1 9 2 2 1 1 41 1
216 2 1 1 1 53 2 1 2 1 1 53 1
