"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner"
72 3 2 1 1 17 3 1
72 4 1 1 1 14 3 1
72 5 2 1 1 12 3 1
73 1 1 6 1 35 1 1
73 2 2 6 1 34 2 1
74 1 2 1 1 45 1 2
74 2 1 1 1 39 2 2
74 3 1 1 1 9 3 2
74 4 2 1 1 6 3 2
75 1 1 1 1 64 1 1
75 2 2 1 1 61 2 1
76 1 1 8 1 52 1 1
76 2 2 8 1 45 2 1
76 3 2 4 1 14 3 1
76 4 1 4 1 13 3 1
76 5 2 8 1 74 6 1
77 1 2 2 1 45 1 2
77 2 1 2 1 58 2 2
77 3 1 2 1 19 3 2
77 4 1 2 1 27 3 2
78 1 1 1 1 69 1 2
78 2 1 1 1 21 3 2
79 1 2 1 1 38 1 1
79 2 1 1 1 46 2 1
79 3 1 1 1 5 3 1
79 4 2 1 1 2 3 1
80 1 2 2 1 68 1 1
80 2 2 2 1 23 9 1
81 1 1 1 1 34 1 2
81 2 2 1 1 35 2 2
81 3 1 1 1 1 3 2
82 1 2 2 1 56 1 2
82 2 1 1 1 10 12 2
83 1 1 1 1 33 1 2
83 2 2 1 1 37 11 2
83 3 1 1 1 15 12 2
83 4 2 1 1 11 12 2
84 1 1 1 1 52 1 1
84 2 2 1 1 53 2 1
85 1 2 1 1 54 1 1
85 2 1 1 1 56 2 1
86 1 2 1 1 48 1 1
86 2 1 1 1 48 2 1
87 1 1 1 1 83 1 1
87 2 2 1 1 79 2 1
88 1 1 1 1 58 1 1
88 2 2 1 1 55 2 1
89 1 1 6 1 59 1 1
89 2 2 6 1 54 2 1
89 3 1 6 1 19 3 1
89 4 2 6 1 14 3 1
90 1 1 1 1 74 1 1
90 2 2 1 1 70 2 1
91 1 1 1 1 82 1 1
91 2 1 1 1 52 3 1
92 1 2 2 1 57 1 1
92 2 1 2 1 23 3 1
93 1 1 1 1 38 1 1
93 2 2 1 1 35 2 1
93 3 1 1 1 18 3 1
93 4 1 1 1 12 3 1
93 5 1 1 1 7 3 1
94 1 2 1 1 55 1 2
94 2 1 1 1 16 3 2
94 3 2 1 1 13 3 2
95 1 1 1 2 21 1 2
95 2 2 1 2 21 2 2
95 3 1 1 2 1 3 2
96 1 1 1 1 40 1 1
96 2 2 1 1 38 2 1
96 3 1 1 1 4 3 1
96 4 1 1 1 35 10 1
97 1 1 1 1 26 1 1
97 2 2 1 1 26 2 1
98 1 2 1 5 39 1 1
98 2 1 1 5 51 2 1
98 3 2 1 5 11 3 1
98 4 1 1 5 8 3 1
98 5 1 1 5 2 3 1
98 6 2 1 5 57 5 1
99 1 1 1 1 83 1 1
99 2 2 1 1 79 2 1
100 1 2 1 1 32 1 2
100 2 1 1 1 35 2 2
100 3 1 1 1 6 3 2
100 4 2 1 1 4 3 2
100 5 2 1 1 1 3 2
101 1 2 2 1 83 1 1
101 2 2 2 1 48 3 1
102 1 2 4 1 32 1 1
102 2 1 4 1 38 2 1
102 3 1 4 1 7 3 1
102 4 1 4 1 3 3 1
103 1 2 1 1 31 1 1
103 2 1 1 1 33 2 1
103 3 2 1 1 13 3 1
103 4 1 1 1 12 3 1
103 5 1 1 1 7 3 1
104 1 1 1 1 61 1 2
104 2 2 1 1 49 2 2
105 1 1 1 1 45 1 1
105 2 2 1 1 39 2 1
105 3 1 1 1 7 3 1
105 4 1 1 1 5 3 1
106 1 2 1 1 30 1 1
106 2 1 1 1 29 11 1
107 1 1 1 1 44 1 1
107 2 2 1 1 42 2 1
107 3 1 1 1 19 3 1
107 4 1 1 1 16 3 1
107 5 1 1 1 14 3 1
108 1 2 4 1 42 1 1
108 2 1 4 1 43 2 1
108 3 1 4 1 12 3 1
108 4 2 4 1 5 3 1
109 1 1 1 1 58 1 1
109 2 2 1 1 58 2 1
110 1 2 2 1 48 1 2
110 2 2 2 1 18 3 2
111 1 1 1 1 49 1 1
111 2 2 1 1 51 2 1
112 1 1 6 1 27 1 2
112 2 2 6 1 27 2 2
113 1 1 1 1 26 1 2
113 2 1 1 1 28 7 2
114 1 2 1 1 50 1 1
114 2 1 1 1 70 2 1
114 3 2 1 1 24 3 1
114 4 1 1 1 13 3 1
114 5 1 1 1 4 9 1
114 6 1 1 1 3 9 1
115 1 1 1 1 62 1 1
115 2 2 1 1 61 2 1
116 1 1 1 1 63 1 1
116 2 2 1 1 60 2 1
117 1 1 1 1 52 1 1
117 2 2 1 1 50 2 1
117 3 1 1 1 23 3 1
117 4 1 1 1 21 3 1
118 1 1 1 1 56 1 1
118 2 2 1 1 53 2 1
119 1 1 1 1 43 1 1
119 2 2 1 1 43 2 1
120 1 1 1 1 76 1 1
120 2 2 1 1 75 2 1
121 1 1 1 1 56 1 1
121 2 2 1 1 55 2 1
122 1 1 1 1 46 1 2
122 2 2 1 1 54 2 2
123 1 1 1 1 58 1 1
123 2 2 1 1 49 2 1
123 3 1 1 1 20 3 1
124 1 2 1 1 45 1 1
124 2 1 1 1 48 2 1
124 3 2 1 1 16 3 1
124 4 2 1 1 13 3 1
125 1 2 1 1 53 1 1
