"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
74 2 1 7 2 20 2 2 2 7 2 19
74 3 2 7 2 3 3 2 2 7 2 19
75 2 1 1 1 53 2 1 2 1 1 52
75 3 1 1 1 25 3 1 2 1 1 52
75 4 2 1 1 21 3 1 2 1 1 52
75 5 2 1 1 23 10 1 2 1 1 52
76 2 2 1 1 68 12 1 1 1 1 62
77 2 2 1 1 48 2 1 1 1 1 51
77 3 2 1 1 17 3 1 1 1 1 51
77 4 1 1 1 15 3 1 1 1 1 51
77 5 1 1 1 13 3 1 1 1 1 51
77 6 2 1 1 9 3 1 1 1 1 51
78 2 2 1 1 48 2 1 1 1 1 60
79 2 1 1 1 66 2 1 2 1 1 61
80 2 1 1 1 38 2 1 2 1 1 38
80 3 2 1 1 59 9 1 2 1 1 38
81 2 2 6 1 54 2 1 1 1 1 57
82 2 2 6 1 59 2 1 1 6 1 67
82 3 1 6 1 55 6 1 1 6 1 67
83 2 2 2 1 64 2 1 1 2 1 60
83 3 1 2 1 43 5 1 1 2 1 60
84 2 2 8 2 54 2 1 1 6 1 57
85 2 1 2 1 22 3 1 2 2 1 43
86 2 2 1 1 68 2 1 1 1 1 70
87 2 2 1 1 63 2 1 1 1 1 66
87 3 2 1 1 26 3 1 1 1 1 66
88 2 2 1 1 23 12 2 2 1 1 22
89 2 1 1 1 25 12 1 1 1 1 37
89 3 2 1 1 33 12 1 1 1 1 37
90 2 1 6 1 28 13 2 1 6 1 29
91 2 1 1 1 52 12 2 1 1 1 50
92 2 1 1 1 59 2 1 2 1 1 59
93 2 1 1 1 12 3 2 2 1 1 50
94 2 1 2 2 23 3 2 2 2 1 46
94 3 1 2 3 12 3 2 2 2 1 46
95 2 1 1 1 66 2 1 2 1 1 65
96 2 2 1 1 62 2 1 1 1 1 58
97 2 2 1 1 37 2 2 1 1 1 43
97 3 2 1 1 11 3 2 1 1 1 43
98 2 2 1 1 50 2 1 1 1 1 52
98 3 2 1 1 23 3 1 1 1 1 52
98 4 1 1 1 20 3 1 1 1 1 52
99 2 1 1 1 78 12 1 2 1 1 77
100 2 1 1 1 13 3 2 2 1 1 31
101 2 2 1 1 60 2 1 1 1 1 66
102 2 1 1 1 68 2 1 2 1 1 57
103 2 1 8 2 18 3 1 2 8 2 37
103 3 2 8 2 10 3 1 2 8 2 37
103 4 1 8 2 2 3 1 2 8 2 37
104 2 2 1 1 58 2 1 1 1 1 63
105 2 1 1 1 53 12 1 2 1 1 52
106 2 1 1 1 44 2 1 2 1 1 41
106 3 2 1 1 17 3 1 2 1 1 41
106 4 2 1 1 6 3 1 2 1 1 41
107 2 1 2 1 34 2 1 2 8 1 34
107 3 1 9 1 7 3 1 2 8 1 34
107 4 1 9 1 4 3 1 2 8 1 34
108 2 2 1 2 37 2 2 1 1 2 40
108 3 1 1 2 10 3 2 1 1 2 40
108 4 2 1 2 4 3 2 1 1 2 40
108 5 1 1 2 1 3 2 1 1 2 40
109 2 2 1 1 46 2 1 1 1 1 43
109 3 1 1 1 11 3 1 1 1 1 43
110 2 2 2 1 13 3 2 2 2 1 33
111 2 2 1 1 58 2 1 1 1 1 57
112 2 2 1 1 68 2 1 1 1 1 88
113 2 2 1 1 45 2 1 1 1 1 40
113 3 2 1 1 17 3 1 1 1 1 40
113 4 2 1 1 14 3 1 1 1 1 40
113 5 2 1 1 13 3 1 1 1 1 40
114 2 1 1 1 35 2 2 2 1 1 29
114 3 1 1 1 6 3 2 2 1 1 29
114 4 1 1 1 3 3 2 2 1 1 29
114 5 2 1 1 13 5 2 2 1 1 29
114 6 2 1 1 9 5 2 2 1 1 29
115 2 1 2 1 32 3 1 2 2 1 54
116 2 2 1 1 55 2 1 1 1 1 58
117 2 1 1 1 74 2 2 2 1 1 82
118 2 2 1 1 46 2 1 1 1 1 42
118 3 2 1 1 13 3 1 1 1 1 42
118 4 2 1 1 19 5 1 1 1 1 42
119 2 1 1 1 46 2 2 2 1 1 39
119 3 2 1 1 18 3 2 2 1 1 39
119 4 1 1 1 9 3 2 2 1 1 39
120 2 1 1 1 76 2 1 2 1 1 75
121 2 1 1 1 48 2 2 2 1 1 44
121 3 2 1 1 13 3 2 2 1 1 44
122 2 1 1 1 38 2 1 2 1 1 40
122 3 1 1 1 12 3 1 2 1 1 40
122 4 1 1 1 9 3 1 2 1 1 40
122 5 2 1 1 71 7 1 2 1 1 40
123 2 2 4 1 48 2 1 1 8 1 52
124 2 2 1 1 71 2 1 1 1 1 73
124 3 1 1 1 49 3 1 1 1 1 73
125 2 2 1 1 35 2 1 1 1 1 35
125 3 2 1 1 5 3 1 1 1 1 35
125 4 2 1 1 58 7 1 1 1 1 35
126 2 1 1 1 44 2 1 2 1 1 36
126 3 2 1 1 7 3 1 2 1 1 36
126 4 1 1 1 5 3 1 2 1 1 36
127 2 2 1 1 68 2 1 1 1 1 70
128 2 2 1 1 47 2 1 1 1 1 50
128 3 2 1 1 17 3 1 1 1 1 50
128 4 2 1 1 14 3 1 1 1 1 50
129 2 2 1 2 11 3 1 1 1 2 40
129 3 1 1 2 7 3 1 1 1 2 40
130 2 1 1 1 39 2 1 2 1 1 42
130 3 1 1 1 8 3 1 2 1 1 42
131 2 1 1 5 24 3 1 1 1 5 47
131 3 2 1 5 11 3 1 1 1 5 47
131 4 2 1 5 42 12 1 1 1 5 47
132 2 2 1 1 50 12 1 2 1 1 59
133 2 2 7 2 52 2 2 1 7 2 50
134 2 2 1 1 37 2 2 1 1 1 43
134 3 2 1 1 15 3 2 1 1 1 43
134 4 1 1 1 12 3 2 1 1 1 43
135 2 1 3 1 58 13 1 1 1 1 56
136 2 1 1 1 46 2 1 2 1 1 48
136 3 1 1 1 17 3 1 2 1 1 48
136 4 2 1 1 13 3 1 2 1 1 48
137 2 2 1 2 6 11 1 2 1 2 37
138 2 2 1 1 75 6 1 1 1 1 62
138 3 2 1 1 54 11 1 1 1 1 62
139 2 2 1 1 67 2 1 1 1 1 67
140 2 1 1 1 55 2 1 2 1 1 53
140 3 1 1 1 16 3 1 2 1 1 53
141 2 2 1 1 37 2 1 1 2 1 42
141 3 2 2 1 10 3 1 1 2 1 42
141 4 1 2 1 1 3 1 1 2 1 42
141 5 2 2 1 66 7 1 1 2 1 42
142 2 2 1 1 60 2 1 1 1 1 65
143 2 2 1 1 56 2 1 1 1 1 56
144 2 1 1 1 56 2 1 2 1 1 55
145 2 2 1 1 20 3 2 2 1 1 42
145 3 1 1 1 28 6 2 2 1 1 42
145 4 1 1 1 1 8 2 2 1 1 42
145 5 1 1 1 43 12 2 2 1 1 42
146 2 2 1 1 67 2 1 1 1 1 61
147 2 1 1 5 39 2 2 2 1 5 46
147 3 1 1 5 3 3 2 2 1 5 46
148 2 2 1 1 53 2 1 1 1 1 80
148 3 1 1 1 29 3 1 1 1 1 80
148 4 2 1 1 27 3 1 1 1 1 80
149 2 2 1 1 41 12 1 1 1 1 36
150 2 2 2 1 49 3 2 2 2 1 70
150 3 2 2 1 12 8 2 2 2 1 70
150 4 2 2 1 7 8 2 2 2 1 70
151 2 2 1 1 65 2 1 1 1 1 71
152 2 1 1 1 42 2 1 2 1 1 44
152 3 2 1 1 17 3 1 2 1 1 44
152 4 1 1 1 15 3 1 2 1 1 44
153 2 2 1 1 46 2 1 1 1 1 50
153 3 2 1 1 17 3 1 1 1 1 50
154 2 2 1 1 35 2 1 1 1 1 34
154 3 1 1 1 11 3 1 1 1 1 34
154 4 2 1 1 9 3 1 1 1 1 34
155 2 2 1 1 24 6 2 2 1 1 20
156 2 1 8 1 8 3 2 2 1 1 30
156 3 1 1 1 4 3 2 2 1 1 30
157 2 2 1 1 54 12 1 2 1 1 65
158 2 2 1 1 57 2 1 1 1 1 63
158 3 2 1 1 20 3 1 1 1 1 63
159 2 2 1 1 35 2 1 1 1 1 39
159 3 1 1 1 13 3 1 1 1 1 39
159 4 2 1 1 11 3 1 1 1 1 39
160 2 2 1 1 27 12 1 1 1 1 47
161 2 1 7 5 36 6 2 2 7 5 47
