Hhindex,pernum,sex,race,sthn,age,relate,ownership,householdsize
68,2,1,1,1,63,2,1,2
69,1,2,1,1,65,1,1,3
69,2,1,1,2,71,2,1,3
69,3,1,1,2,30,3,1,3
70,1,1,1,1,22,1,2,2
70,2,1,1,1,21,11,2,2
71,1,1,1,2,68,1,1,2
71,2,2,5,1,68,2,1,2
72,1,1,1,1,55,1,1,2
72,2,2,1,1,53,2,1,2
73,1,2,6,1,32,1,1,3
73,2,1,6,1,33,2,1,3
73,3,1,6,1,2,3,1,3
74,1,1,1,1,45,1,1,2
74,2,2,1,1,40,2,1,2
75,1,1,6,1,73,1,1,4
75,2,2,6,1,75,2,1,4
75,3,2,6,1,71,12,1,4
75,4,2,6,1,57,12,1,4
76,1,2,2,1,55,1,2,2
76,2,2,2,1,15,3,2,2
77,1,2,1,1,58,1,1,3
77,2,1,1,1,60,2,1,3
77,3,2,1,1,94,5,1,3
78,1,2,1,1,56,1,1,2
78,2,1,1,1,58,2,1,2
79,1,1,1,1,47,1,1,4
79,2,2,1,1,47,2,1,4
79,3,1,1,1,9,3,1,4
79,4,2,1,1,6,3,1,4
80,1,1,6,1,50,1,1,3
80,2,2,6,1,27,3,1,3
80,3,1,6,1,1,9,1,3
81,1,2,2,1,43,1,1,4
81,2,1,2,1,43,2,1,4
81,3,2,2,1,14,3,1,4
81,4,1,2,1,11,3,1,4
82,1,1,1,5,51,1,1,4
82,2,2,1,5,58,2,1,4
82,3,1,1,5,27,3,1,4
82,4,1,1,5,18,3,1,4
83,1,1,1,1,58,1,2,2
83,2,2,1,1,54,2,2,2
84,1,1,1,1,48,1,1,2
84,2,2,1,1,36,2,1,2
85,1,1,1,5,64,1,1,2
85,2,2,1,1,66,2,1,2
86,1,2,1,1,53,1,2,3
86,2,1,1,1,33,3,2,3
86,3,1,1,1,29,3,2,3
87,1,1,1,1,77,1,1,2
87,2,2,1,1,80,2,1,2
88,1,1,2,1,45,1,2,3
88,2,2,2,1,44,2,2,3
88,3,2,2,1,12,3,2,3
89,1,1,4,1,35,1,1,3
89,2,2,4,1,38,2,1,3
89,3,1,4,1,2,3,1,3
90,1,1,1,1,25,1,2,2
90,2,1,1,1,28,11,2,2
91,1,2,1,2,29,1,2,4
91,2,2,1,2,12,3,2,4
91,3,2,1,2,10,3,2,4
91,4,2,1,2,8,3,2,4
92,1,2,2,1,35,1,1,4
